state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
TEXAS,Tornado,HILL,12/26/2015,14:03:00,0,0,0,0,EF0,2.76,HUBBARD,$0.00 ,"$15,000.00 ",0
TEXAS,Tornado,HENDERSON,12/26/2015,14:44:00,0,0,0,0,EF0,0.9,EUSTACE,$0.00 ,"$10,000.00 ",0
IOWA,Tornado,HENRY,6/20/2015,18:18:00,2,0,0,0,EF1,3.45,MT PLEASANT MUNI ARP,"$100,000.00 ","$10,000.00 ",1
COLORADO,Tornado,WASHINGTON,6/5/2015,15:54:00,0,0,0,0,EF0,0.1,ARICKAREE,$0.00 ,$0.00 ,0
ARKANSAS,Tornado,CONWAY,4/19/2015,16:35:00,0,0,0,0,EF1,4.21,OVERCUP,"$50,000.00 ",$0.00 ,1
GEORGIA,Tornado,BACON,1/4/2015,13:03:00,2,0,0,0,EF1,4.81,ROCKINGHAM,$0.00 ,$0.00 ,1
ARKANSAS,Tornado,YELL,5/25/2015,17:35:00,0,0,0,0,EF1,0.43,OLA,"$5,000.00 ",$0.00 ,1
GEORGIA,Tornado,CHATHAM,1/4/2015,15:03:00,0,0,0,0,EF1,3,BURROUGHS,$0.00 ,$0.00 ,1
ALABAMA,Tornado,DALE,1/4/2015,6:27:00,0,0,0,0,EF0,1.5,PINCKARD,"$10,000.00 ",$0.00 ,0
GEORGIA,Tornado,TIFT,1/4/2015,11:45:00,0,0,0,0,EF1,0.27,BROOKFIELD,"$10,000.00 ",$0.00 ,1
MONTANA,Tornado,FALLON,6/21/2015,15:37:00,0,0,0,0,EF0,1,WILLARD,$0.00 ,$0.00 ,0
COLORADO,Tornado,MESA,7/9/2015,14:32:00,0,0,0,0,EF1,0.11,SKYWAY,$0.00 ,$0.00 ,1
OHIO,Tornado,FAIRFIELD,6/23/2015,12:39:00,0,0,0,0,EF0,0.47,LANCASTER,"$3,000.00 ","$5,000.00 ",0
TEXAS,Tornado,VAN ZANDT,5/10/2015,19:46:00,43,0,2,0,EF3,10.22,PRIMROSE,"$40,000,000.00 ",$0.00 ,3
TEXAS,Tornado,EASTLAND,5/9/2015,15:32:00,2,0,1,0,EF3,3.79,NIMROD,"$300,000.00 ","$100,000.00 ",3
KANSAS,Tornado,JEWELL,5/6/2015,14:31:00,0,0,0,0,EF0,1,IONIA,$0.00 ,$0.00 ,0
KANSAS,Tornado,JEWELL,5/6/2015,15:54:00,0,0,0,0,EF1,4.28,FORMOSO,"$250,000.00 ",$0.00 ,1
KANSAS,Tornado,JEWELL,5/6/2015,16:04:00,0,0,0,0,EF1,3.11,RANDALL,"$5,000.00 ",$0.00 ,1
KANSAS,Tornado,JEWELL,5/6/2015,14:55:00,1,0,0,0,EF2,12.58,ESBON,"$1,500,000.00 ",$0.00 ,2
KANSAS,Tornado,JEWELL,5/6/2015,15:48:00,0,0,0,0,EF2,3.55,WEBBER,"$1,250,000.00 ",$0.00 ,2
NEBRASKA,Tornado,NUCKOLLS,5/6/2015,15:38:00,0,0,0,0,EF1,9.47,BOSTWICK,"$250,000.00 ",$0.00 ,1
NEBRASKA,Tornado,THAYER,5/6/2015,16:12:00,0,0,0,0,EF2,4.76,DESHLER,"$1,500,000.00 ",$0.00 ,2
TEXAS,Tornado,COMANCHE,4/26/2015,14:28:00,0,0,0,0,EF0,0.95,SIPE SPGS,$0.00 ,$0.00 ,0
TEXAS,Tornado,COMANCHE,4/26/2015,14:45:00,0,0,0,0,EF0,1.34,SIDNEY,$0.00 ,$0.00 ,0
OKLAHOMA,Tornado,LE FLORE,5/25/2015,16:48:00,0,0,0,0,EF2,15.5,SMACKER,"$500,000.00 ",$0.00 ,2
OKLAHOMA,Tornado,LE FLORE,5/28/2015,8:58:00,0,0,0,0,EF1,0.5,TALIHINA,"$50,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,MUSKOGEE,5/29/2015,12:51:00,0,0,0,0,EF1,5,PORUM,"$30,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,SEQUOYAH,5/29/2015,13:16:00,0,0,0,0,EF0,1.5,GORE,"$20,000.00 ",$0.00 ,0
TEXAS,Tornado,GILLESPIE,5/25/2015,11:33:00,0,0,0,0,EF1,2.39,COIN CITY,$0.00 ,$0.00 ,1
