state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
FLORIDA,Tornado,LEE,4/6/2017,9:30:00,1,0,0,0,EF0,7.43,PUNTA RASSA,"$110,000.00 ",$0.00 ,0
NEW YORK,Tornado,DUTCHESS,5/31/2017,17:58:00,0,0,0,0,EF1,1.11,RED OAKS MILL,$0.00 ,$0.00 ,1
TEXAS,Tornado,BOSQUE,1/15/2017,18:17:00,0,0,0,0,EF1,1.38,CLIFTON,"$90,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,WARREN,4/30/2017,6:52:00,0,0,0,0,EF0,1.64,GRANGE HALL,"$30,000.00 ",$0.00 ,0
TEXAS,Tornado,BOSQUE,1/15/2017,18:35:00,0,0,0,0,EF0,0.7,LAGUNA PARK,"$10,000.00 ",$0.00 ,0
LOUISIANA,Tornado,RICHLAND,4/2/2017,15:36:00,0,0,0,0,EF1,4.24,NEW LIGHT,"$15,000.00 ",$0.00 ,1
LOUISIANA,Tornado,MOREHOUSE,4/30/2017,3:44:00,0,0,0,0,EF1,5.71,GUM RIDGE,"$100,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,MADISON,4/30/2017,7:54:00,0,0,0,0,EF1,2.52,FLORA LANE ARPT,"$10,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,YAZOO,4/30/2017,7:51:00,0,0,0,0,EF1,2.52,BENTONIA,"$10,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,WARREN,4/30/2017,7:15:00,0,0,0,0,EF1,2.28,BOVINA,"$30,000.00 ",$0.00 ,1
MISSOURI,Tornado,OSAGE,3/6/2017,23:03:00,0,0,0,0,EF1,7.26,ARGYLE,$0.00 ,$0.00 ,1
LOUISIANA,Tornado,CATAHOULA,4/2/2017,15:28:00,1,0,0,0,EF2,10.52,AIMWELL,"$300,000.00 ",$0.00 ,2
MISSISSIPPI,Tornado,MONTGOMERY,4/30/2017,9:13:00,0,0,0,0,EF1,5.63,MINERVA,"$40,000.00 ",$0.00 ,1
TEXAS,Tornado,HILL,1/15/2017,18:36:00,2,0,0,0,EF1,5.8,LAKE WHITNEY,"$290,000.00 ",$0.00 ,1
LOUISIANA,Tornado,RICHLAND,4/2/2017,15:48:00,0,0,0,0,EF1,3.69,NEW LIGHT,"$75,000.00 ",$0.00 ,1
LOUISIANA,Tornado,FRANKLIN,4/2/2017,15:30:00,0,0,0,0,EF1,3.37,LIDDIEVILLE,"$50,000.00 ",$0.00 ,1
IOWA,Tornado,STORY,8/21/2017,16:58:00,0,0,0,0,EF0,1.08,MIDVALE,$0.00 ,"$3,000.00 ",0
TEXAS,Tornado,BOSQUE,1/15/2017,18:00:00,0,0,0,0,EF0,4.77,MOSHIEM,"$200,000.00 ",$0.00 ,0
TEXAS,Tornado,TARRANT,1/15/2017,20:13:00,0,0,0,0,EF0,0.69,MANSFIELD,"$75,000.00 ",$0.00 ,0
IOWA,Tornado,BOONE,8/21/2017,16:52:00,0,0,0,0,EF0,1.91,NAPIER,"$5,000.00 ","$5,000.00 ",0
