state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
IOWA,Tornado,BUCHANAN,7/14/2021,18:10:00,0,0,0,0,EFU,0.1,AURORA,$0.00 ,$0.00 ,-1
MINNESOTA,Tornado,WINONA,12/15/2021,20:10:00,0,0,0,0,EF0,0.63,WYATTVILLE,"$95,000.00 ",$0.00 ,0
MINNESOTA,Tornado,WINONA,12/15/2021,20:17:00,0,0,0,0,EF1,2.3,HOMER,"$100,000.00 ",$0.00 ,1
MINNESOTA,Tornado,DODGE,12/15/2021,19:50:00,0,0,0,0,EF1,0.6,WEST CONCORD,"$10,000.00 ",$0.00 ,1
MINNESOTA,Tornado,WABASHA,12/15/2021,20:03:00,0,0,0,0,EF1,4.03,PLAINVIEW,"$65,000.00 ",$0.00 ,1
MINNESOTA,Tornado,HOUSTON,12/15/2021,20:06:00,0,0,0,0,EF1,7.31,PERKINS,"$300,000.00 ",$0.00 ,1
TENNESSEE,Tornado,OVERTON,12/6/2021,6:56:00,0,0,0,0,EF0,2.64,UNITY,"$15,000.00 ",$0.00 ,0
TENNESSEE,Tornado,PICKETT,12/6/2021,7:05:00,0,0,0,0,EF0,1.87,MIDWAY,"$20,000.00 ",$0.00 ,0
TENNESSEE,Tornado,COFFEE,12/6/2021,7:44:00,0,0,0,0,EF1,4.68,FLOWERTOWN,"$20,000.00 ",$0.00 ,1
TENNESSEE,Tornado,TROUSDALE,12/6/2021,5:59:00,0,0,0,0,EF0,4.77,PAYNES STORE,"$15,000.00 ",$0.00 ,0
IOWA,Tornado,JONES,7/14/2021,21:02:00,0,0,0,0,EF1,8,MONTICELLO MUNI ARPT,$0.00 ,$0.00 ,1
NEBRASKA,Tornado,HAMILTON,5/2/2021,18:51:00,0,0,0,0,EFU,0.01,AURORA,$0.00 ,$0.00 ,-1
NEBRASKA,Tornado,POLK,5/2/2021,19:06:00,0,0,0,0,EF0,1.33,STROMSBURG,"$45,000.00 ",$0.00 ,0
NEBRASKA,Tornado,HAMILTON,5/2/2021,18:51:00,0,0,0,0,EF0,0.92,AURORA,"$45,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,CHICKASAW,5/2/2021,20:15:00,0,0,0,0,EF0,1.1,HOULKA,"$5,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,CALHOUN,5/2/2021,19:08:00,0,0,0,0,EF0,1.29,SABOUGLA,"$10,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,LEE,5/2/2021,21:22:00,0,0,0,0,EF0,1.33,EGGVILLE,"$15,000.00 ",$0.00 ,0
TENNESSEE,Tornado,JACKSON,12/11/2021,4:10:00,0,0,0,0,EF0,0.17,CORINTH,"$5,000.00 ",$0.00 ,0
MASSACHUSETTS,Tornado,WORCESTER,8/23/2021,11:30:00,0,0,0,0,EF0,0.1,EAST BOLTON,"$2,000.00 ",$0.00 ,0
MASSACHUSETTS,Tornado,MIDDLESEX,8/23/2021,12:10:00,0,0,0,0,EF0,0.1,STOW,"$2,000.00 ",$0.00 ,0
MASSACHUSETTS,Tornado,MIDDLESEX,8/23/2021,10:40:00,0,0,0,0,EF0,0.75,MARLBOROUGH JCT,"$8,000.00 ",$0.00 ,0
NEW JERSEY,Tornado,MERCER,9/1/2021,18:32:00,0,0,0,0,EF0,2.61,CLARKSVILLE,$0.00 ,$0.00 ,0
PENNSYLVANIA,Tornado,BUCKS,9/1/2021,16:59:00,0,0,0,0,EF1,4.31,EDISON,$0.00 ,$0.00 ,1
NEVADA,Tornado,ELKO,8/13/2021,16:15:00,0,0,0,0,EF0,0.1,SPRING CREEK,$0.00 ,$0.00 ,0
